Title,Category,Subcategory,Season,Region,Priority,Target User,Evergreen,Premium Candidate,Event Month,Source Status,Story Status
隅田川花火大会,Event,Fireworks,Summer,Tokyo,S,Both,No,Yes,July,Unverified,New
長岡まつり大花火大会,Event,Fireworks,Summer,Niigata,S,Both,No,Yes,August,Unverified,New
大曲の花火,Event,Fireworks,Summer,Akita,S,Both,No,Yes,August,Unverified,New
諏訪湖祭湖上花火大会,Event,Fireworks,Summer,Nagano,S,Both,No,Yes,August,Unverified,New
神宮外苑花火大会,Event,Fireworks,Summer,Tokyo,S,Both,No,Yes,August,Unverified,New
びわ湖大花火大会,Event,Fireworks,Summer,Shiga,S,Both,No,Yes,August,Unverified,New
熊野大花火大会,Event,Fireworks,Summer,Mie,S,Both,No,Yes,August,Unverified,New
みなとみらいスマートフェスティバル,Event,Fireworks,Summer,Kanagawa,S,Both,No,Yes,August,Unverified,New
江戸川区花火大会,Event,Fireworks,Summer,Tokyo,A,Both,No,Yes,August,Unverified,New
足立の花火,Event,Fireworks,Summer,Tokyo,A,Both,No,No,July,Unverified,New
勝毎花火大会,Event,Fireworks,Summer,Hokkaido,A,Both,No,Yes,August,Unverified,New
赤川花火大会,Event,Fireworks,Summer,Yamagata,A,Both,No,Yes,August,Unverified,New
柏崎まつり海の大花火大会,Event,Fireworks,Summer,Niigata,A,Both,No,Yes,July,Unverified,New
岡崎城下家康公夏まつり花火大会,Event,Fireworks,Summer,Aichi,A,Both,No,No,August,Unverified,New
関門海峡花火大会,Event,Fireworks,Summer,Fukuoka/Yamaguchi,A,Both,No,Yes,August,Unverified,New
筑後川花火大会,Event,Fireworks,Summer,Fukuoka,A,Both,No,No,August,Unverified,New
幕張ビーチ花火フェスタ,Event,Fireworks,Summer,Chiba,A,Both,No,Yes,August,Unverified,New
熱海海上花火大会,Event,Fireworks,All Season,Shizuoka,A,Both,Yes,Yes,Multiple,Unverified,New
芦ノ湖夏まつり花火大会,Event,Fireworks,Summer,Kanagawa,A,Both,No,No,July,Unverified,New
伊勢神宮奉納全国花火大会,Event,Fireworks,Summer,Mie,A,Both,No,Yes,July,Unverified,New
